src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
192.168.18.20,192.168.18.1,46022,53,UDP,0.0,94,1,94.0,INTERNAL,INTERNET,OTHER,9.4e-08
192.168.18.1,192.168.18.20,53,51709,UDP,0.0,110,1,110.0,INTERNAL,INTERNET,OTHER,1.1e-07
127.0.0.53,127.0.0.1,53,47355,UDP,0.0,232,2,232.0,INTERNAL,LOCAL,OTHER,2.32e-07
192.168.18.1,192.168.18.20,53,46022,UDP,0.0,122,1,122.0,INTERNAL,INTERNET,OTHER,1.22e-07
127.0.0.1,127.0.0.53,46410,53,UDP,0.0,180,2,180.0,INTERNAL,INTERNET,OTHER,1.8e-07
192.168.18.20,192.168.18.1,41179,53,UDP,0.0,90,1,90.0,INTERNAL,INTERNET,OTHER,9e-08
192.168.18.20,192.168.18.1,46226,53,UDP,0.0,90,1,90.0,INTERNAL,INTERNET,OTHER,9e-08
192.168.18.1,192.168.18.20,53,41179,UDP,0.0,250,1,250.0,INTERNAL,INTERNET,OTHER,2.5e-07
127.0.0.53,127.0.0.1,53,46410,UDP,0.0,452,2,452.0,INTERNAL,LOCAL,OTHER,4.52e-07
192.168.18.1,192.168.18.20,53,46226,UDP,0.0,202,1,202.0,INTERNAL,INTERNET,OTHER,2.02e-07
127.0.0.1,127.0.0.53,47427,53,UDP,0.0,186,2,186.0,INTERNAL,INTERNET,OTHER,1.86e-07
192.168.18.20,192.168.18.1,46142,53,UDP,0.0,93,1,93.0,INTERNAL,INTERNET,OTHER,9.3e-08
192.168.18.20,192.168.18.1,54092,53,UDP,0.0,93,1,93.0,INTERNAL,INTERNET,OTHER,9.3e-08
192.168.18.1,192.168.18.20,53,46142,UDP,0.0,125,1,125.0,INTERNAL,INTERNET,OTHER,1.25e-07
127.0.0.53,127.0.0.1,53,47427,UDP,0.02,274,2,274.0,INTERNAL,LOCAL,OTHER,2.74e-07
192.168.18.1,192.168.18.20,53,54092,UDP,0.0,149,1,149.0,INTERNAL,INTERNET,OTHER,1.49e-07
127.0.0.1,127.0.0.53,32863,53,UDP,0.02,176,2,176.0,INTERNAL,INTERNET,OTHER,1.76e-07
192.168.18.20,192.168.18.1,43758,53,UDP,0.0,88,1,88.0,INTERNAL,INTERNET,OTHER,8.8e-08
192.168.18.1,192.168.18.20,53,43758,UDP,0.0,104,1,104.0,INTERNAL,INTERNET,OTHER,1.04e-07
127.0.0.53,127.0.0.1,53,32863,UDP,0.01,220,2,220.0,INTERNAL,LOCAL,OTHER,2.2e-07
192.168.18.20,192.168.18.1,41996,53,UDP,0.0,88,1,88.0,INTERNAL,INTERNET,OTHER,8.8e-08
192.168.18.1,192.168.18.20,53,41996,UDP,0.0,116,1,116.0,INTERNAL,INTERNET,OTHER,1.16e-07
127.0.0.1,127.0.0.53,33820,53,UDP,0.0,194,2,194.0,INTERNAL,INTERNET,OTHER,1.94e-07
192.168.18.20,192.168.18.1,56139,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
192.168.18.20,192.168.18.1,45284,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
192.168.18.1,192.168.18.20,53,56139,UDP,0.0,141,1,141.0,INTERNAL,INTERNET,OTHER,1.41e-07
